Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
E3,18/08/12,AFC Wimbledon,Chesterfield,1,0,H,1,0,H,6,16,4,11,8,12,3,8,1,2,0,0,3,3.4,2.3,2.85,3.3,2.25,2.85,3.3,2.25,2.8,3.1,2.2,3.1,3.25,2.3,3.12,3.53,2.35,3.1,3.25,2.3,3,3.3,2.3,3.1,3.5,2.38,3.1,3.25,2.2,36,3.12,2.92,3.53,3.28,2.4,2.32,25,1.82,1.77,2.09,1.99,18,0.25,1.88,1.82,2.08,2.03
E3,18/08/12,Bristol Rvs,Oxford,0,2,A,0,2,A,13,9,6,5,11,15,8,2,1,3,0,0,2.3,3.3,3.1,2.2,3.1,3.1,2.2,3.1,3.1,2.2,3,2.9,2.38,3.25,3,2.36,3.42,3.19,2.4,3.2,3,2.3,3.25,3,2.4,3.4,3.12,2.25,3.25,2.88,35,2.42,2.32,3.42,3.23,3.19,2.95,31,2.12,2.02,1.82,1.77,18,-0.25,2.1,2.05,1.85,1.8
E3,18/08/12,Cheltenham,Dag and Red,2,0,H,1,0,H,8,9,3,5,4,5,3,7,1,2,0,0,1.8,3.5,4.5,1.8,3.4,4,1.8,3.4,4,1.8,3.3,3.6,1.91,3.3,4.2,1.88,3.65,4.47,1.85,3.5,4.2,1.8,3.5,4.33,1.9,3.6,4.5,1.75,3.4,4.33,35,1.91,1.83,3.65,3.43,4.5,4.14,32,2,1.93,1.92,1.85,17,-0.75,2.16,2.11,1.8,1.76
E3,18/08/12,Exeter,Morecambe,0,3,A,0,3,A,10,7,5,5,9,10,7,2,2,2,0,0,1.91,3.5,4,1.8,3.3,4.1,1.8,3.3,4.1,1.85,3.2,3.5,1.91,3.4,4,1.94,3.65,4.15,1.91,3.4,4,1.9,3.5,3.8,1.95,3.6,4.1,1.83,3.3,4,36,1.97,1.9,3.65,3.42,4.15,3.85,32,1.95,1.89,2.01,1.89,17,-0.75,2.28,2.24,1.72,1.67
E3,18/08/12,Fleetwood Town,Torquay,0,0,D,0,0,D,22,13,3,3,9,9,11,6,1,0,0,0,2,3.4,3.75,1.9,3.3,3.7,1.9,3.3,3.7,2,3.2,3.1,2,3.4,3.75,2.04,3.61,3.86,2.05,3.25,3.75,2,3.4,3.75,2.05,3.6,3.8,1.91,3.4,3.6,34,2.1,2.01,3.61,3.34,3.86,3.55,32,1.98,1.88,2,1.89,17,-0.25,1.82,1.74,2.22,2.14
E3,18/08/12,Gillingham,Bradford,3,1,H,1,0,H,7,9,3,3,16,7,6,5,2,0,0,0,2.05,3.4,3.5,2,3.25,3.4,2,3.25,3.4,2,3.2,3.1,2.1,3.4,3.4,2.18,3.52,3.49,2.05,3.3,3.6,2.1,3.3,3.3,2.15,3.5,3.6,1.91,3.4,3.6,35,2.2,2.09,3.52,3.31,3.6,3.34,32,2,1.9,1.99,1.88,16,-0.5,2.2,2.15,1.77,1.74
E3,18/08/12,Plymouth,Aldershot,0,2,A,0,1,A,13,2,6,2,14,13,3,3,2,1,0,0,2.3,3.2,3.2,2.2,3.1,3.1,2.2,3.1,3.1,2.2,3.1,2.8,2.38,3.4,2.9,2.34,3.37,3.27,2.3,3.3,3.1,2.3,3.25,3,2.38,3.3,3.25,2.1,3.3,3.2,35,2.4,2.28,3.4,3.22,3.27,3.03,25,2.24,2.12,1.75,1.67,18,-0.25,2.05,1.99,1.91,1.85
E3,18/08/12,Port Vale,Barnet,3,0,H,2,0,H,3,0,1,0,6,5,4,5,0,0,0,0,1.83,3.6,4.2,1.8,3.4,4,1.8,3.4,4,1.85,3.2,3.5,1.83,3.5,4.33,1.83,3.88,4.52,1.83,3.5,4.33,1.83,3.4,4,1.85,3.8,4.4,1.91,3.4,3.6,35,1.91,1.83,3.88,3.43,4.52,4.12,32,1.95,1.85,2,1.93,17,-0.5,1.87,1.83,2.1,2.02
E3,18/08/12,Rochdale,Northampton,0,0,D,0,0,D,14,8,0,1,10,9,12,7,1,1,0,0,2.2,3.4,3.2,2.05,3.25,3.3,2.05,3.25,3.3,2.1,3.1,3,2.25,3.4,3.1,2.35,3.51,3.19,2.2,3.3,3.3,2.25,3.3,3.13,2.3,3.5,3.25,2.25,3.25,2.88,35,2.38,2.24,3.51,3.3,3.3,3.04,32,1.9,1.82,2.07,1.96,16,-0.5,2.35,2.28,1.69,1.65
E3,18/08/12,Rotherham,Burton,3,0,H,2,0,H,9,8,5,2,14,7,4,6,1,2,0,1,1.67,3.75,5,1.6,3.6,5,1.6,3.6,5,1.65,3.3,4.4,1.62,3.75,5.5,1.61,4.11,6.19,1.67,4,4.8,1.62,3.75,5.5,1.65,4,6,1.62,3.6,5,35,1.67,1.61,4.11,3.69,6.19,5.38,32,1.83,1.77,2.12,2.02,18,-0.75,1.84,1.78,2.14,2.08
E3,18/08/12,Southend,Accrington,0,1,A,0,0,D,20,5,6,3,11,12,14,8,1,2,0,0,1.8,3.5,4.5,1.7,3.4,4.6,1.7,3.4,4.6,1.75,3.4,3.7,1.8,3.5,4.5,1.91,3.65,4.4,1.73,3.6,4.8,1.83,3.5,4.33,1.87,3.6,4.75,1.73,3.6,4.33,36,1.91,1.8,3.68,3.46,4.52,4.27,32,2.02,1.94,1.92,1.84,17,-0.75,2.16,2.11,1.8,1.76
E3,18/08/12,York,Wycombe,1,3,A,0,2,A,10,6,3,4,11,10,10,1,2,1,0,0,2.5,3.3,2.75,2.5,3.1,2.65,2.5,3.1,2.65,2.4,3.1,2.5,2.5,3.3,2.75,2.57,3.46,2.87,2.5,3.3,2.8,2.5,3.25,2.75,2.6,3.4,2.88,2.5,3.25,2.6,34,2.65,2.52,3.47,3.23,2.88,2.69,30,2,1.9,1.98,1.87,17,0,1.88,1.82,2.08,2.01
E3,21/08/12,Accrington,Port Vale,2,0,H,1,0,H,4,13,3,6,4,11,8,10,2,3,0,0,2.25,3.6,2.9,2.5,3.25,2.55,2.5,3.25,2.55,2.3,3.1,2.6,2.5,3.4,2.7,2.375,3.25,2.6,2.5,3.2,2.8,2.4,3.4,2.8,2.5,3.5,2.88,2.4,3.3,2.75,35,2.55,2.43,3.6,3.29,2.91,2.76,22,1.94,1.81,2.03,1.95,17,0,1.84,1.79,2.15,2.06
E3,21/08/12,Aldershot,Exeter,1,2,A,1,1,D,10,7,3,4,9,13,2,7,1,1,0,0,1.91,3.75,3.6,1.95,3.1,3.75,1.95,3.1,3.75,2.1,3.1,3,2,3.5,3.6,2,3.25,3.4,1.91,3.5,4,2,3.5,3.6,2.05,3.7,3.7,1.95,3.4,3.6,34,2.1,1.99,3.6,3.37,3.98,3.62,21,2.2,2.06,1.8,1.72,12,-0.25,1.79,1.73,2.22,2.15
E3,21/08/12,Barnet,Bristol Rvs,1,1,D,1,0,H,7,15,3,10,18,18,6,8,1,3,0,0,2.75,3.6,2.38,2.6,3.25,2.45,2.6,3.25,2.45,2.6,3.1,2.3,2.88,3.4,2.38,2.65,3.3,2.375,2.8,3.2,2.5,2.75,3.3,2.5,2.88,3.6,2.5,2.6,3.25,2.5,35,3,2.8,3.6,3.29,2.5,2.39,24,1.87,1.78,2.06,2,17,0,2.17,2.11,1.8,1.75
E3,21/08/12,Bradford,Fleetwood Town,1,0,H,0,0,D,11,11,5,5,15,11,5,3,0,3,0,0,2.6,3.6,2.5,2.55,3.25,2.5,2.55,3.25,2.5,2.5,3.1,2.4,2.7,3.4,2.5,2.5,3.3,2.5,2.75,3.3,2.5,2.63,3.3,2.6,2.75,3.5,2.6,2.6,3.4,2.5,34,2.78,2.63,3.6,3.32,2.7,2.54,21,1.91,1.82,2.06,1.94,17,0,2.02,1.95,1.95,1.88
